year,farm_resource_region,crop,stat,estimate
2010,Fruitful Rim,"Tobacco, Cotton, Peanuts",incfi,340304
2010,Fruitful Rim,General Cash Grains,incfi,68019
2010,Fruitful Rim,Wheat,incfi,99612
2010,Fruitful Rim,Other Field Crops,incfi,22627
2010,Fruitful Rim,"Specialty Crops (F,V,N)",incfi,158720
2011,Fruitful Rim,Wheat,incfi,110981
2011,Fruitful Rim,Soybean,incfi,NA
2011,Fruitful Rim,Other Field Crops,incfi,36131
2011,Fruitful Rim,General Cash Grains,incfi,152342
2011,Fruitful Rim,Corn,incfi,31536
2011,Fruitful Rim,"Tobacco, Cotton, Peanuts",incfi,172768
2011,Fruitful Rim,"Specialty Crops (F,V,N)",incfi,179211
2012,Fruitful Rim,Wheat,incfi,273586
2012,Fruitful Rim,Other Field Crops,incfi,43186
2012,Fruitful Rim,General Cash Grains,incfi,227621
2012,Fruitful Rim,Corn,incfi,103412
2012,Fruitful Rim,Soybean,incfi,NA
2012,Fruitful Rim,"Tobacco, Cotton, Peanuts",incfi,270519
2012,Fruitful Rim,"Specialty Crops (F,V,N)",incfi,194961
2013,Fruitful Rim,Corn,incfi,136178
2013,Fruitful Rim,Soybean,incfi,NA
2013,Fruitful Rim,"Tobacco, Cotton, Peanuts",incfi,420425
2013,Fruitful Rim,Other Field Crops,incfi,69720
2013,Fruitful Rim,"Specialty Crops (F,V,N)",incfi,182783
2013,Fruitful Rim,General Cash Grains,incfi,124868
2013,Fruitful Rim,Wheat,incfi,117319
2014,Fruitful Rim,General Cash Grains,incfi,102777
2014,Fruitful Rim,Wheat,incfi,76856
2014,Fruitful Rim,Corn,incfi,178206
2014,Fruitful Rim,"Tobacco, Cotton, Peanuts",incfi,109043
2014,Fruitful Rim,"Specialty Crops (F,V,N)",incfi,202347
2014,Fruitful Rim,Soybean,incfi,-7183
2014,Fruitful Rim,Other Field Crops,incfi,55261
2015,Fruitful Rim,General Cash Grains,incfi,219499
2015,Fruitful Rim,Wheat,incfi,118405
2015,Fruitful Rim,Soybean,incfi,NA
2015,Fruitful Rim,"Specialty Crops (F,V,N)",incfi,253974
2015,Fruitful Rim,Corn,incfi,138960
2015,Fruitful Rim,"Tobacco, Cotton, Peanuts",incfi,32654
2015,Fruitful Rim,Other Field Crops,incfi,25345
2016,Fruitful Rim,General Cash Grains,incfi,182245
2016,Fruitful Rim,Wheat,incfi,42402
2016,Fruitful Rim,"Tobacco, Cotton, Peanuts",incfi,400891
2016,Fruitful Rim,Other Field Crops,incfi,66978
2016,Fruitful Rim,"Specialty Crops (F,V,N)",incfi,256687
2016,Fruitful Rim,Corn,incfi,117408
2016,Fruitful Rim,Soybean,incfi,NA
2017,Fruitful Rim,General Cash Grains,incfi,145719
2017,Fruitful Rim,Wheat,incfi,122812
2017,Fruitful Rim,"Tobacco, Cotton, Peanuts",incfi,301367
2017,Fruitful Rim,Other Field Crops,incfi,21581
2017,Fruitful Rim,"Specialty Crops (F,V,N)",incfi,238870
2017,Fruitful Rim,Corn,incfi,92297
2017,Fruitful Rim,Soybean,incfi,NA
2018,Fruitful Rim,General Cash Grains,incfi,120749
2018,Fruitful Rim,Wheat,incfi,203843
2018,Fruitful Rim,Corn,incfi,24770
2018,Fruitful Rim,"Tobacco, Cotton, Peanuts",incfi,170999
2018,Fruitful Rim,Other Field Crops,incfi,23419
2018,Fruitful Rim,"Specialty Crops (F,V,N)",incfi,184000
1996,Heartland,"Specialty Crops (F,V,N)",incfi,111617
1996,Heartland,General Cash Grains,incfi,38637
1996,Heartland,Wheat,incfi,NA
1996,Heartland,Corn,incfi,37686
1996,Heartland,Soybean,incfi,11490
1996,Heartland,"Tobacco, Cotton, Peanuts",incfi,17684
1996,Heartland,Other Field Crops,incfi,2699
1997,Heartland,"Specialty Crops (F,V,N)",incfi,25023
1997,Heartland,General Cash Grains,incfi,33722
1997,Heartland,Wheat,incfi,NA
1997,Heartland,Corn,incfi,26473
1997,Heartland,Soybean,incfi,20590
1997,Heartland,"Tobacco, Cotton, Peanuts",incfi,31994
1997,Heartland,Other Field Crops,incfi,6225
1998,Heartland,Corn,incfi,37239
1998,Heartland,Soybean,incfi,12786
1998,Heartland,"Tobacco, Cotton, Peanuts",incfi,15683
1998,Heartland,General Cash Grains,incfi,35795
1998,Heartland,Wheat,incfi,NA
1998,Heartland,Other Field Crops,incfi,5124
1998,Heartland,"Specialty Crops (F,V,N)",incfi,71458
1999,Heartland,General Cash Grains,incfi,28449
1999,Heartland,Wheat,incfi,NA
1999,Heartland,Corn,incfi,31324
1999,Heartland,Soybean,incfi,16182
1999,Heartland,"Tobacco, Cotton, Peanuts",incfi,25218
1999,Heartland,"Specialty Crops (F,V,N)",incfi,67033
1999,Heartland,Other Field Crops,incfi,582
2000,Heartland,General Cash Grains,incfi,32176
2000,Heartland,Corn,incfi,28774
2000,Heartland,Soybean,incfi,15043
2000,Heartland,Other Field Crops,incfi,6516
2000,Heartland,"Specialty Crops (F,V,N)",incfi,21243
2000,Heartland,Wheat,incfi,NA
2000,Heartland,"Tobacco, Cotton, Peanuts",incfi,9802
2001,Heartland,General Cash Grains,incfi,35956
2001,Heartland,Corn,incfi,35359
2001,Heartland,Other Field Crops,incfi,4697
2001,Heartland,Soybean,incfi,9724
2001,Heartland,"Tobacco, Cotton, Peanuts",incfi,26153
2001,Heartland,"Specialty Crops (F,V,N)",incfi,31889
2002,Heartland,General Cash Grains,incfi,28783
2002,Heartland,Corn,incfi,28071
2002,Heartland,Soybean,incfi,10056
2002,Heartland,"Tobacco, Cotton, Peanuts",incfi,27844
2002,Heartland,Other Field Crops,incfi,1965
2002,Heartland,"Specialty Crops (F,V,N)",incfi,11606
2002,Heartland,Wheat,incfi,NA
2003,Heartland,General Cash Grains,incfi,44291
2003,Heartland,Soybean,incfi,17977
2003,Heartland,Other Field Crops,incfi,6460
2003,Heartland,"Specialty Crops (F,V,N)",incfi,34582
2003,Heartland,Wheat,incfi,9140
2003,Heartland,Corn,incfi,40365
2003,Heartland,"Tobacco, Cotton, Peanuts",incfi,42769
2004,Heartland,General Cash Grains,incfi,58076
2004,Heartland,Soybean,incfi,59112
2004,Heartland,Wheat,incfi,5663
2004,Heartland,Corn,incfi,63309
2004,Heartland,"Tobacco, Cotton, Peanuts",incfi,7097
2004,Heartland,Other Field Crops,incfi,4132
2004,Heartland,"Specialty Crops (F,V,N)",incfi,61719
2005,Heartland,General Cash Grains,incfi,62774
2005,Heartland,Wheat,incfi,NA
2005,Heartland,Corn,incfi,68328
2005,Heartland,Soybean,incfi,41967
2005,Heartland,"Tobacco, Cotton, Peanuts",incfi,194987
2005,Heartland,Other Field Crops,incfi,7271
2005,Heartland,"Specialty Crops (F,V,N)",incfi,45435
2006,Heartland,Soybean,incfi,15327
2006,Heartland,"Tobacco, Cotton, Peanuts",incfi,63254
2006,Heartland,Other Field Crops,incfi,2275
2006,Heartland,"Specialty Crops (F,V,N)",incfi,62230
2006,Heartland,General Cash Grains,incfi,51235
2006,Heartland,Wheat,incfi,-2413
2006,Heartland,Corn,incfi,45140
2007,Heartland,General Cash Grains,incfi,70870
2007,Heartland,Wheat,incfi,8343
2007,Heartland,Corn,incfi,83908
2007,Heartland,Soybean,incfi,29220
